utc_time,total objective
1979,4593305142.314723
1980,4638584796.301444
1981,4644528094.23722
1982,4962976166.276613
1983,5192910590.598814
1984,4338285781.510783
1985,4764447954.281488
1986,4565086071.771597
1987,4572807708.355022
1988,4694530974.53087
1989,4988063283.091057
1990,4841208296.041246
1991,4703947705.598144
1992,4891456479.62148
1993,5246917612.015751
1994,5060745062.476967
1995,4122913063.0783644
1996,4212222068.9858046
1997,4818259190.63037
1998,4399810173.670467
1999,4151839327.985376
2000,4309632826.950923
2001,4181391075.4779468
2002,4170941254.797871
2003,4847279627.411797
2004,5032948426.4257555
2005,4374010118.669084
2006,4855940728.077299
2007,4867542419.199527
2008,4656138587.223923
2009,4420878326.63194
2010,4464823573.7334795
2011,6924595970.717466
2012,6498475486.778004
2013,5461605019.903021
2014,6003955463.169929
2015,7066647890.01576
2016,6745607199.232167
2017,6640007517.06889
